"date","open","high","low","close","volume","exchange","M20","M5"
2021-11-13,1.1886,1.20445,1.1675,1.1892,33987795.2329,"XRP/USD",1.151595,1.208
2021-11-14,1.1892,1.199725,1.16795,1.18845,29054264.53335,"XRP/USD",1.15625625,1.19416
2021-11-15,1.188425,1.220325,1.165,1.172,45188011.4767,"XRP/USD",1.15952,1.190545
2021-11-16,1.172,1.172075,1.039675,1.087875,108943614.6277,"XRP/USD",1.1641625,1.165225
2021-11-17,1.087875,1.113525,1.058425,1.0958,55847638.947425,"XRP/USD",1.1660125,1.146665
2021-11-18,1.09585,1.1622,1.01555,1.040975,97663300.73415,"XRP/USD",1.16394625,1.11702
2021-11-19,1.040975,1.104975,1.018025,1.090825,48331184.976175,"XRP/USD",1.16423125,1.097495
2021-11-20,1.090825,1.1028,1.06145,1.09815,39495758.48255,"XRP/USD",1.16346625,1.082725
2021-11-21,1.09815,1.099325,1.056175,1.0585,34218446.091825,"XRP/USD",1.1617575,1.07685
2021-11-22,1.0585,1.07265,1.0269,1.037725,53635555.88895,"XRP/USD",1.15684375,1.065235
2021-11-23,1.037725,1.072525,1.02,1.066975,47249131.8172,"XRP/USD",1.1496525,1.070435
2021-11-24,1.066975,1.0748,1.00665,1.03265,40189229.97545,"XRP/USD",1.14123875,1.0588
2021-11-25,1.03265,1.065875,1.022175,1.04395,40282047.35375,"XRP/USD",1.13545625,1.04796
2021-11-26,1.04395,1.047525,0.911125,0.9397,98544302.696125,"XRP/USD",1.1248425,1.0242
2021-11-27,0.9397,0.966825,0.93445,0.946425,25966866.28085,"XRP/USD",1.1111275,1.00594
2021-11-28,0.946425,0.97,0.88475,0.9698,42548564.5254,"XRP/USD",1.09549,0.986505
2021-11-29,0.9698,1.0028,0.963775,0.9911,44158860.262825,"XRP/USD",1.0821625,0.978195
2021-11-30,0.9911,1.03095,0.968875,0.999,46755079.491575,"XRP/USD",1.07260875,0.969205
2021-12-01,0.999,1.0185,0.9798,0.99045,39266092.496925,"XRP/USD",1.0614075,0.979355
2021-12-02,0.99045,0.9906,0.94,0.97265,31780915.741675,"XRP/USD",1.05061,0.9846
2021-12-03,0.97265,0.989,0.8911,0.921825,35265276.5905,"XRP/USD",1.03724125,0.975005
2021-12-04,0.921825,0.9249,0.597075,0.8465,166789704.218775,"XRP/USD",1.02014375,0.946085
2021-12-05,0.8465,0.863475,0.770925,0.80545,31597082.213925,"XRP/USD",1.00181625,0.907375
2021-12-06,0.80545,0.831125,0.749925,0.826525,39532939.778325,"XRP/USD",0.98874875,0.87459
2021-12-07,0.826525,0.847275,0.804,0.816,38887620.02855,"XRP/USD",0.97475875,0.84326
2021-12-08,0.816,0.88555,0.803875,0.86285,40587360.36255,"XRP/USD",0.9658525,0.831465
2021-12-09,0.86285,0.9361,0.83265,0.858825,51766732.440875,"XRP/USD",0.9542525,0.83393
2021-12-10,0.858825,0.883225,0.7922,0.7998,41419921.243,"XRP/USD",0.939335,0.8328
2021-12-11,0.7998,0.84465,0.7856,0.839,23295017.099975,"XRP/USD",0.92836,0.835295
2021-12-12,0.839,0.85725,0.80955,0.84015,17842956.66825,"XRP/USD",0.91848125,0.840125
2021-12-13,0.84015,0.84485,0.76035,0.782,42650201.49075,"XRP/USD",0.9042325,0.823955
2021-12-14,0.782,0.8219,0.772575,0.811325,35009669.7212,"XRP/USD",0.89316625,0.814455
2021-12-15,0.811325,0.84025,0.777375,0.826525,33399877.335575,"XRP/USD",0.882295,0.8198
2021-12-16,0.82655,0.836525,0.803375,0.80535,23545977.023675,"XRP/USD",0.8755775,0.81307
2021-12-17,0.80535,0.8327,0.77555,0.796925,28142308.8834,"XRP/USD",0.8681025,0.804425
2021-12-18,0.796925,0.83475,0.791325,0.826775,25723681.1696,"XRP/USD",0.86095125,0.81338
2021-12-19,0.826775,0.8488,0.8187,0.83515,25904084.72925,"XRP/USD",0.85315375,0.818145
2021-12-20,0.83515,0.9179,0.824375,0.87955,61766079.40785,"XRP/USD",0.84718125,0.82875
2021-12-21,0.879675,0.961975,0.8525,0.9473,67898565.437175,"XRP/USD",0.84502375,0.85714
2021-12-22,0.947125,0.973775,0.923175,0.953825,57945490.792175,"XRP/USD",0.8440825,0.88852
2021-12-23,0.953825,1.0183,0.9373,0.994825,97918562.305375,"XRP/USD",0.8477325,0.92213
2021-12-24,0.994825,0.9972,0.89765,0.911825,118130518.70725,"XRP/USD",0.85099875,0.937465
2021-12-25,0.911925,0.935,0.89905,0.925875,24573198.773575,"XRP/USD",0.85702,0.94673
2021-12-26,0.925875,0.9339,0.90605,0.9206,20686090.927075,"XRP/USD",0.86172375,0.94139
2021-12-27,0.9206,0.9565,0.914675,0.92725,36060135.76495,"XRP/USD",0.86728625,0.936075
2021-12-28,0.92725,0.92725,0.845575,0.851825,37261785.921925,"XRP/USD",0.866735,0.907475
2021-12-29,0.851825,0.8644,0.81025,0.817275,32474752.1544,"XRP/USD",0.8646575,0.888565
2021-12-30,0.817275,0.8607,0.802875,0.8385,40533264.406525,"XRP/USD",0.8665925,0.87109
2021-12-31,0.8385,0.853625,0.80205,0.82995,36678175.209675,"XRP/USD",0.86614,0.85296
2022-01-01,0.82995,0.8559,0.829825,0.8507,32470604.579775,"XRP/USD",0.8666675,0.83765
2022-01-02,0.8507,0.8659,0.837325,0.858625,19873897.36405,"XRP/USD",0.87049875,0.83901
2022-01-03,0.858625,0.85885,0.82145,0.8327,39512872.555075,"XRP/USD",0.8715675,0.842095
2022-01-04,0.8327,0.8455,0.815,0.822675,32471194.0185,"XRP/USD",0.871375,0.83893
2022-01-05,0.822675,0.837,0.71,0.772,35878774.311175,"XRP/USD",0.8697075,0.82734
2022-01-06,0.772,0.7906,0.7382,0.7791,35508769.54365,"XRP/USD",0.86881625,0.81302
2022-01-07,0.7791,0.78065,0.7282,0.76345,34887782.579075,"XRP/USD",0.86565,0.793985
2022-01-08,0.76345,0.776675,0.722925,0.745275,25897352.37125,"XRP/USD",0.86115625,0.7765
2022-01-09,0.74525,0.76685,0.7383,0.75305,17536084.3222,"XRP/USD",0.85483125,0.762575
2022-01-10,0.75305,0.7588,0.69635,0.740225,27381755.550075,"XRP/USD",0.8444775,0.75622
2022-01-11,0.740225,0.77695,0.7305,0.770675,29068543.039775,"XRP/USD",0.83532,0.754535
2022-01-12,0.770675,0.80765,0.757525,0.79905,28760309.372625,"XRP/USD",0.82553125,0.761655
2022-01-13,0.79905,0.802725,0.7608,0.7683,20116417.001675,"XRP/USD",0.818355,0.76626
